"","category","name","price","ratings","no_of_reviews"
"1","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£1.12","4.5 out of 5 stars","377"
"2","Pencil","STAEDTLER 122-2 BK10 Noris Graphite Pencil with Eraser Tip - HB (Pack of 10)","£0.11","4.7 out of 5 stars","13,682"
"3","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£4.88","4.7 out of 5 stars","12,769"
"4","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£0.49","4.6 out of 5 stars","1,908"
"5","Pencil","Essential Arts Pack of 864 (6 x 144) Small Half Size Wooden HB Hexagonal Pencils - Responsibly Sourced Wood - for School, Golf, Bookies, Bingo, Office and DIY - Ideal Single Use Pencils","£7.93","5.0 out of 5 stars","16"
"6","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£1.60","4.7 out of 5 stars","82,763"
"7","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£0.32","4.6 out of 5 stars","759"
"8","Pencil","Faber-Castell Blacklead Pencil GRIP 2001 HB With Eraser Tip Pack Of 12, Black, Grey","£2.91","4.7 out of 5 stars","2,159"
"9","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£9.92","4.7 out of 5 stars","29"
"10","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.20","4.6 out of 5 stars","7,016"
"11","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£24.99","4.5 out of 5 stars","3,365"
"12","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.03","4.6 out of 5 stars","2,954"
"13","Pencil","Classmaster HB Graphite Pencils with Eraser Tips 144-Pieces","£6.66","4.6 out of 5 stars","1,467"
"14","Pencil","Q-Connect Half Pencil (Pack of 144) ,Grey","£0.22","4.6 out of 5 stars","1,577"
"15","Pencil","BIC Matic Fun, HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine ,Yellow,Blue,Green,White,Pink,Point (0.7mm), Pack of 5,Yellow,Blue,Green,White,Pink","£7.91","4.7 out of 5 stars","4,252"
"16","Pencil","BIC Matic HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine Point (0.9 mm), Pack of 12, Yellow,Orange,White,Pink","£5.20","4.6 out of 5 stars","1,971"
"17","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£0.29","4.5 out of 5 stars","1,386"
"18","Pencil","SOL 64pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils","£5.66","4.4 out of 5 stars","44"
"19","Pencil","STAEDTLER 122-2BK10D Noris HB Eraser-Tip Pencil (Blister of 10)","£8.77","4.7 out of 5 stars","1,002"
"20","Pencil","Staedtler Noris School Pencils 121 - 2H Grade [Pack of 36]","£0.73","4.7 out of 5 stars","628"
"21","Pencil","Ailvor HB Pencils, 30pcs Pencils with Rubbers, Presharpened Pencil with 4pcs Pen holders for School Children Handwriting and Drawing","£9.15","4.6 out of 5 stars","261"
"22","Pencil","Helix Oxford X10 HB Pencils with Plastic Sharpener and Eraser","£3.19","4.7 out of 5 stars","3,581"
"23","Pencil","rOtring Rapid Pro Mechanical Pencil | HB 0.7 mm Lead Propelling Pencil | Reduced Lead Breakage | Matte Black Full-Metal Barrel","£8.21","4.8 out of 5 stars","4,105"
"24","Pencil","BIC Velocity Pro Refillable Mechanical Pencils - Black - Box of 12 (3 HB) Lead Pencils 0.7 mm with Eraser","£0.23","4.5 out of 5 stars","125"
"25","Pencil","Faber-Castell Apollo 0.7mm Mechanical Pencil - Dark Blue","£2.37","4.6 out of 5 stars","5,141"
"26","Pencil","STAEDTLER NORIS SCHOOL PENCILS 2B [Box of 36]","£0.20","4.3 out of 5 stars","548"
"27","Pencil","BIC Matic ECOlutions Mechanical Pencils - Box of 50 with Assorted Barrel Colours - 0.7 mm HB Friendly Pencils with Resistant Leads, black","£2.49","4.6 out of 5 stars","558"
"28","Pencil","Paper Mate Non-Stop Mechanical Pencil | 0.7mm with Shock-Absorbing Tip | HB #2 | Assorted Barrel Colours | 10 Count","£2.75","4.6 out of 5 stars","5,668"
"29","Pencil","10 x Eco Essentials Eco HB Wood Pencils with Eraser On Top Sustainably Sourced Ideal for Home School Office","£4.87","4.6 out of 5 stars","164"
"30","Pencil","Paper Mate Non-Stop Mechanical Pencil 0.7mm With Eraser - HB #2 - Original Clear Neon Barrels - Pack of 16","£0.03","4.6 out of 5 stars","69"
"31","Pencil","Bic Matic Original Mechanical Pencils, Perfect for School and Office Use, 0.7 mm Black (HB), Includes 3 HB Lead Refills and Eraser, 12 Count (Pack of 1)","£2.50","4.7 out of 5 stars","5,667"
"32","Pencil","SOL 32pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils Sticker","£0.50","4.1 out of 5 stars","361"
"33","Pencil","FABER-CASTELL Grip 2001 Pencils HB Pack of 6,Silver","£6.55","4.6 out of 5 stars","1,020"
"34","Pencil","Ergonomic Graphite Pencil - STABILO EASYgraph - Right-Handed - Pack of 12 - Petrol - HB","£0.55","4.7 out of 5 stars","1,647"
"35","Pencil","Mechanical pencil Pentel PG1013-E GraphGear1000, line width 0.3 mm, rubber (Z2-1N), 1 piece","£6.73","4.6 out of 5 stars","10,504"
"36","Pencil","STAEDTLER 121 Noris School Pencils with Mini Eraser + Sharpener - Pack of 12","£7.49","4.6 out of 5 stars","55"
"37","Pencil","Nicpro Metal Mechanical Pencils Set with Case, Automatic Retractable Drafting Pencil 0.5 mm and 0.7 mm With HB Leads Refill, Erasers Propelling Pencils For School Engineer Writing, Drawing, Sketching","£8.32","4.6 out of 5 stars","4,009"
"38","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","£8.32","4.5 out of 5 stars","4,315"
"39","Pencil","Q-Connect HB Rubber Tipped Office Pencil (12 Pack)","£0.13","4.3 out of 5 stars","51"
"40","Pencil","qijiefenCC Everlasting Pencil,6pcs Infinity Pencil,Reusable Inkless Pencil for Writing,for Sketch, Drawing, School Supplies","£4.78","4.0 out of 5 stars","15"
"41","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£0.48","4.7 out of 5 stars","1,665"
"42","Pencil","Nicpro 6PCS Pastel Mechanical Pencils Set with Case, 0.5 mm & 0.7 mm Cute Automatic Retractable Propelling Pencil With 12 tubes HB Leads Refill, Erasers For School Engineer Drafting Writing Sketching","£6.00","4.5 out of 5 stars","5,425"
"43","Pencil","Surcotto HB pencils, 30 HB pencils with eraser and sharpener, pre-sharpened triangular pencils for children's writing and drawing at school and home","£9.79","4.6 out of 5 stars","118"
"44","Pencil","Oxford Helix HB Pencils Eraser Tipped Pencils with rubber - 36 Pencils - Boxed","£0.27","4.7 out of 5 stars","105"
"45","Pencil","rOtring 300 Mechanical Pencil | 2.0 mm | Refillable with Sharpener Under Cap | Black | 1Count","£5.49","4.6 out of 5 stars","1,412"
"46","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£1.12","4.5 out of 5 stars","377"
"47","Pencil","STAEDTLER 122-2 BK10 Noris Graphite Pencil with Eraser Tip - HB (Pack of 10)","£0.11","4.7 out of 5 stars","13,682"
"48","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£4.88","4.7 out of 5 stars","12,769"
"49","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£0.49","4.6 out of 5 stars","1,908"
"50","Pencil","Essential Arts Pack of 864 (6 x 144) Small Half Size Wooden HB Hexagonal Pencils - Responsibly Sourced Wood - for School, Golf, Bookies, Bingo, Office and DIY - Ideal Single Use Pencils","£7.93","5.0 out of 5 stars","16"
"51","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£1.60","4.7 out of 5 stars","82,763"
"52","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£0.32","4.6 out of 5 stars","759"
"53","Pencil","Faber-Castell Blacklead Pencil GRIP 2001 HB With Eraser Tip Pack Of 12, Black, Grey","£2.91","4.7 out of 5 stars","2,159"
"54","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£9.92","4.7 out of 5 stars","29"
"55","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.20","4.6 out of 5 stars","7,016"
"56","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£24.99","4.5 out of 5 stars","3,365"
"57","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.03","4.6 out of 5 stars","2,954"
"58","Pencil","Classmaster HB Graphite Pencils with Eraser Tips 144-Pieces","£6.66","4.6 out of 5 stars","1,467"
"59","Pencil","Q-Connect Half Pencil (Pack of 144) ,Grey","£0.22","4.6 out of 5 stars","1,577"
"60","Pencil","BIC Matic Fun, HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine ,Yellow,Blue,Green,White,Pink,Point (0.7mm), Pack of 5,Yellow,Blue,Green,White,Pink","£7.91","4.7 out of 5 stars","4,252"
"61","Pencil","BIC Matic HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine Point (0.9 mm), Pack of 12, Yellow,Orange,White,Pink","£5.20","4.6 out of 5 stars","1,971"
"62","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£0.29","4.5 out of 5 stars","1,386"
"63","Pencil","SOL 64pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils","£5.66","4.4 out of 5 stars","44"
"64","Pencil","STAEDTLER 122-2BK10D Noris HB Eraser-Tip Pencil (Blister of 10)","£8.77","4.7 out of 5 stars","1,002"
"65","Pencil","Staedtler Noris School Pencils 121 - 2H Grade [Pack of 36]","£0.73","4.7 out of 5 stars","628"
"66","Pencil","Ailvor HB Pencils, 30pcs Pencils with Rubbers, Presharpened Pencil with 4pcs Pen holders for School Children Handwriting and Drawing","£9.15","4.6 out of 5 stars","261"
"67","Pencil","Helix Oxford X10 HB Pencils with Plastic Sharpener and Eraser","£3.19","4.7 out of 5 stars","3,581"
"68","Pencil","rOtring Rapid Pro Mechanical Pencil | HB 0.7 mm Lead Propelling Pencil | Reduced Lead Breakage | Matte Black Full-Metal Barrel","£8.21","4.8 out of 5 stars","4,105"
"69","Pencil","BIC Velocity Pro Refillable Mechanical Pencils - Black - Box of 12 (3 HB) Lead Pencils 0.7 mm with Eraser","£0.23","4.5 out of 5 stars","125"
"70","Pencil","Faber-Castell Apollo 0.7mm Mechanical Pencil - Dark Blue","£2.37","4.6 out of 5 stars","5,141"
"71","Pencil","STAEDTLER NORIS SCHOOL PENCILS 2B [Box of 36]","£0.20","4.3 out of 5 stars","548"
"72","Pencil","BIC Matic ECOlutions Mechanical Pencils - Box of 50 with Assorted Barrel Colours - 0.7 mm HB Friendly Pencils with Resistant Leads, black","£2.49","4.6 out of 5 stars","558"
"73","Pencil","Paper Mate Non-Stop Mechanical Pencil | 0.7mm with Shock-Absorbing Tip | HB #2 | Assorted Barrel Colours | 10 Count","£2.75","4.6 out of 5 stars","5,668"
"74","Pencil","10 x Eco Essentials Eco HB Wood Pencils with Eraser On Top Sustainably Sourced Ideal for Home School Office","£4.87","4.6 out of 5 stars","164"
"75","Pencil","Paper Mate Non-Stop Mechanical Pencil 0.7mm With Eraser - HB #2 - Original Clear Neon Barrels - Pack of 16","£0.03","4.6 out of 5 stars","69"
"76","Pencil","Bic Matic Original Mechanical Pencils, Perfect for School and Office Use, 0.7 mm Black (HB), Includes 3 HB Lead Refills and Eraser, 12 Count (Pack of 1)","£2.50","4.7 out of 5 stars","5,667"
"77","Pencil","SOL 32pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils Sticker","£0.50","4.1 out of 5 stars","361"
"78","Pencil","FABER-CASTELL Grip 2001 Pencils HB Pack of 6,Silver","£6.55","4.6 out of 5 stars","1,020"
"79","Pencil","Ergonomic Graphite Pencil - STABILO EASYgraph - Right-Handed - Pack of 12 - Petrol - HB","£0.55","4.7 out of 5 stars","1,647"
"80","Pencil","Mechanical pencil Pentel PG1013-E GraphGear1000, line width 0.3 mm, rubber (Z2-1N), 1 piece","£6.73","4.6 out of 5 stars","10,503"
"81","Pencil","STAEDTLER 121 Noris School Pencils with Mini Eraser + Sharpener - Pack of 12","£7.49","4.6 out of 5 stars","55"
"82","Pencil","Nicpro Metal Mechanical Pencils Set with Case, Automatic Retractable Drafting Pencil 0.5 mm and 0.7 mm With HB Leads Refill, Erasers Propelling Pencils For School Engineer Writing, Drawing, Sketching","£8.32","4.6 out of 5 stars","4,009"
"83","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","£8.32","4.5 out of 5 stars","4,315"
"84","Pencil","Q-Connect HB Rubber Tipped Office Pencil (12 Pack)","£0.13","4.3 out of 5 stars","51"
"85","Pencil","qijiefenCC Everlasting Pencil,6pcs Infinity Pencil,Reusable Inkless Pencil for Writing,for Sketch, Drawing, School Supplies","£4.78","4.0 out of 5 stars","15"
"86","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£0.48","4.7 out of 5 stars","1,665"
"87","Pencil","Nicpro 6PCS Pastel Mechanical Pencils Set with Case, 0.5 mm & 0.7 mm Cute Automatic Retractable Propelling Pencil With 12 tubes HB Leads Refill, Erasers For School Engineer Drafting Writing Sketching","£6.00","4.5 out of 5 stars","5,425"
"88","Pencil","Surcotto HB pencils, 30 HB pencils with eraser and sharpener, pre-sharpened triangular pencils for children's writing and drawing at school and home","£9.79","4.6 out of 5 stars","118"
"89","Pencil","Oxford Helix HB Pencils Eraser Tipped Pencils with rubber - 36 Pencils - Boxed","£0.27","4.7 out of 5 stars","105"
"90","Pencil","rOtring 300 Mechanical Pencil | 2.0 mm | Refillable with Sharpener Under Cap | Black | 1Count","£5.49","4.6 out of 5 stars","1,412"
"91","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£1.12","4.5 out of 5 stars","377"
"92","Pencil","STAEDTLER 122-2 BK10 Noris Graphite Pencil with Eraser Tip - HB (Pack of 10)","£0.11","4.7 out of 5 stars","13,682"
"93","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£4.88","4.7 out of 5 stars","12,769"
"94","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£0.49","4.6 out of 5 stars","1,908"
"95","Pencil","Essential Arts Pack of 864 (6 x 144) Small Half Size Wooden HB Hexagonal Pencils - Responsibly Sourced Wood - for School, Golf, Bookies, Bingo, Office and DIY - Ideal Single Use Pencils","£7.93","5.0 out of 5 stars","16"
"96","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£1.60","4.7 out of 5 stars","82,763"
"97","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£0.32","4.6 out of 5 stars","759"
"98","Pencil","Faber-Castell Blacklead Pencil GRIP 2001 HB With Eraser Tip Pack Of 12, Black, Grey","£2.91","4.7 out of 5 stars","2,159"
"99","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£9.92","4.7 out of 5 stars","29"
"100","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.20","4.6 out of 5 stars","7,016"
